Timestamp,Temperature,Humidity,PPM,
12-20-2023,312,12,232,
21-11-2023,23,34,2,
21-11-2023,23,34,2,
21-11-2023,23,34,2,
1970-01-01 1:00:09,29.00,88.00,138,
1970-01-01 1:00:09,29.00,88.00,138,
1970-01-01 1:00:09,29.00,88.00,138,
23-11-2022,33,55,54,
23-11-2022,33,55,54,
23-11-2022,33,55,54,
23-11-2022,33,55,54,
23-11-2022,33,55,54,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,127,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,126,
22-12-2003,26.00,95.00,126,
2023-12-08 22:20:01,33,55,54,
2023-12-08 22:25:48,33,55,54,
2023-12-08 22:43:59,26.00,95.00,131,
2023-12-08 22:44:27,26.00,95.00,131,
2023-12-08 22:44:53,26.00,95.00,133,
2023-12-08 22:45:27,26.00,95.00,132,
2023-12-08 22:45:33,26.00,95.00,132,
2023-12-08 22:45:48,26.00,95.00,132,
2023-12-08 22:46:04,26.00,95.00,132,
2023-12-08 22:47:03,26.00,94.00,132,
2023-12-08 22:47:24,26.00,94.00,132,
2023-12-08 22:47:44,26.00,94.00,132,
2023-12-08 22:48:04,26.00,94.00,132,
2023-12-08 22:48:24,26.00,94.00,132,
2023-12-08 22:48:44,26.00,94.00,132,
2023-12-08 22:49:04,26.00,94.00,132,
2023-12-08 22:50:04,26.00,94.00,135,
2023-12-08 22:50:24,26.00,94.00,134,
2023-12-08 22:50:44,26.00,94.00,134,
2023-12-08 22:51:04,26.00,94.00,134,
2023-12-08 22:51:24,26.00,94.00,133,
2023-12-08 22:51:44,26.00,94.00,134,
2023-12-08 23:08:05,0.00,0.00,67,
2023-12-08 23:08:26,26.00,96.00,130,
2023-12-08 23:08:46,26.00,96.00,128,
2023-12-08 23:09:06,26.00,96.00,137,
2023-12-08 23:09:26,26.00,96.00,130,
2023-12-08 23:09:46,26.00,96.00,131,
2023-12-08 23:10:06,26.00,96.00,130,
2023-12-08 23:10:26,26.00,96.00,128,
2023-12-08 23:10:46,26.00,96.00,128,
2023-12-08 23:11:06,26.00,96.00,131,
2023-12-08 23:11:26,26.00,96.00,131,
2023-12-08 23:11:46,26.00,96.00,129,
2023-12-08 23:12:06,26.00,96.00,128,
2023-12-08 23:12:26,26.00,96.00,127,
2023-12-08 23:12:46,26.00,96.00,129,
2023-12-08 23:13:06,26.00,96.00,127,
2023-12-08 23:13:26,26.00,96.00,127,
2023-12-08 23:13:46,26.00,96.00,128,
2023-12-08 23:14:06,26.00,95.00,128,
2023-12-08 23:14:26,26.00,96.00,127,
2023-12-08 23:14:46,26.00,96.00,126,
2023-12-08 23:15:06,26.00,96.00,157,
2023-12-08 23:15:26,26.00,95.00,167,
2023-12-08 23:15:49,26.00,95.00,150,
2023-12-08 23:16:07,26.00,96.00,149,
2023-12-08 23:16:27,26.00,96.00,139,
2023-12-08 23:16:47,26.00,95.00,134,
2023-12-08 23:17:07,26.00,95.00,132,
2023-12-08 23:17:27,26.00,95.00,131,
2023-12-08 23:17:47,25.00,96.00,130,
2023-12-08 23:18:07,25.00,96.00,129,
2023-12-08 23:18:27,25.00,96.00,128,
2023-12-08 23:18:47,25.00,96.00,128,
2023-12-08 23:19:07,25.00,96.00,127,
2023-12-08 23:19:27,25.00,96.00,127,
2023-12-08 23:19:47,25.00,96.00,126,
2023-12-08 23:20:07,25.00,96.00,126,
2023-12-08 23:20:27,25.00,96.00,126,
